"file","saved","examined","included","errors","duplicates","invalid","nonconverged","excluded_nonconverged","reconstructed_maps","roundoff_clamped_replicates"
"additive_dominant_add2_rec0_dom3_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec4_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec4_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom3_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom4_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom3_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec5_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom4_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom4_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec5_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec5_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec4_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec3_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec3_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom4_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec3_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec4_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom4_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec3_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom3_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec4_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom5_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom3_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom3_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom5_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec2_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom3_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec4_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add3_rec1_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom4_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom5_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add4_rec0_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add3_rec1_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom5_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add4_rec0_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add4_rec0_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec4_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom4_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec3_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom3_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom3_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom3_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec5_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec1_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom4_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add4_rec0_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec1_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec2_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec1_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec3_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom3_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec1_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add3_rec0_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec1_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add2_rec2_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom3_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom3_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,1
"additive_dominant_add3_rec0_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add3_rec1_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom3_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add3_rec0_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add2_rec1_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec3_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add2_rec2_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom3_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add3_rec0_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add3_rec1_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec3_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec3_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec4_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec3_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec3_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add2_rec2_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add2_rec2_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec2_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec4_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec4_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec3_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec3_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add3_rec0_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom4_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom3_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add3_rec0_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom4_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add3_rec0_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec3_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom3_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add2_rec1_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add2_rec1_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom3_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec3_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,1
"recessive_dominant_add0_rec2_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec2_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom3_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec3_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec3_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom4_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec2_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_add3_rec0_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,2
"additive_recessive_add2_rec1_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec3_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,399,1,0,0,0,0,399,0
"additive_recessive_add2_rec1_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,2
"recessive_dominant_add0_rec3_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec2_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_dominant_add0_rec1_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec2_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec2_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,1
"recessive_dominant_add0_rec1_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_dominant_add1_rec1_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom4_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec2_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add2_rec0_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_recessive_add1_rec2_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"additive_dominant_add1_rec0_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,399,1,0,0,0,0,399,0
"recessive_dominant_add0_rec1_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec2_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"recessive_add0_rec2_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom3_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
"dominant_add0_rec0_dom3_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,2
"dominant_add0_rec0_dom3_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData",400,400,400,0,0,0,0,0,400,0
