"scenario","configuration","design","all_additive","pve","K","n_runs","sum_lead_pip","n_exact","n_wrong_coding","n_wrong_snp","n_ambiguous","n_no_support","n_lead_additive","n_lead_recessive","n_lead_dominant","n_unique","mean_lead_pip","fraction_exact","fraction_wrong_coding","fraction_wrong_snp","fraction_ambiguous","fraction_no_support","exact_accuracy_unique","share_unique_additive","share_unique_recessive","share_unique_dominant"
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.1,1,400,143.331161204406,119,17,142,122,0,39,1,238,278,0.358327903011015,0.2975,0.0425,0.355,0.305,0,0.428057553956835,0.140287769784173,0.00359712230215827,0.856115107913669
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.1,1,400,154.101814593425,122,1,101,176,0,2,221,1,224,0.385254536483563,0.305,0.0025,0.2525,0.44,0,0.544642857142857,0.00892857142857143,0.986607142857143,0.00446428571428571
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,400,137.716185941071,106,20,168,106,0,258,1,35,294,0.344290464852678,0.265,0.05,0.42,0.265,0,0.360544217687075,0.877551020408163,0.00340136054421769,0.119047619047619
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.2,1,400,189.499491547126,151,10,98,141,0,14,0,245,259,0.473748728867815,0.3775,0.025,0.245,0.3525,0,0.583011583011583,0.0540540540540541,0,0.945945945945946
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.2,1,400,186.269390234852,146,0,48,206,0,0,194,0,194,0.465673475587131,0.365,0,0.12,0.515,0,0.752577319587629,0,1,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.2,1,400,186.480848760908,152,7,117,124,0,265,0,11,276,0.466202121902269,0.38,0.0175,0.2925,0.31,0,0.550724637681159,0.960144927536232,0,0.0398550724637681
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.3,1,400,212.348601188176,171,7,74,148,0,8,0,244,252,0.530871502970441,0.4275,0.0175,0.185,0.37,0,0.678571428571429,0.0317460317460317,0,0.968253968253968
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.3,1,400,202.200706635567,156,0,30,214,0,0,186,0,186,0.505501766588917,0.39,0,0.075,0.535,0,0.838709677419355,0,1,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.3,1,400,212.115119487453,165,6,99,130,0,263,0,7,270,0.530287798718633,0.4125,0.015,0.2475,0.325,0,0.611111111111111,0.974074074074074,0,0.0259259259259259
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.4,1,400,226.748005110751,180,4,59,157,0,4,0,239,243,0.566870012776876,0.45,0.01,0.1475,0.3925,0,0.740740740740741,0.0164609053497942,0,0.983539094650206
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.4,1,400,209.778241829821,160,0,21,219,0,0,181,0,181,0.524445604574553,0.4,0,0.0525,0.5475,0,0.883977900552486,0,1,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.4,1,400,228.542316327546,188,3,79,130,0,267,0,3,270,0.571355790818865,0.47,0.0075,0.1975,0.325,0,0.696296296296296,0.988888888888889,0,0.0111111111111111
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.1,2,399,132.67618818676,114,24,181,79,1,68,7,244,319,0.332521774904161,0.285714285714286,0.0601503759398496,0.453634085213033,0.197994987468672,0.0025062656641604,0.357366771159875,0.213166144200627,0.0219435736677116,0.764890282131661
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.1,2,400,141.266183052141,136,11,149,103,1,34,142,120,296,0.353165457630354,0.34,0.0275,0.3725,0.2575,0.0025,0.459459459459459,0.114864864864865,0.47972972972973,0.405405405405405
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.1,2,400,152.233917312047,139,0,130,127,4,10,255,4,269,0.380584793280117,0.3475,0,0.325,0.3175,0.01,0.516728624535316,0.0371747211895911,0.947955390334573,0.0148698884758364
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.1,2,399,134.567513465975,117,25,188,68,1,159,10,161,330,0.337261938511215,0.293233082706767,0.06265664160401,0.471177944862155,0.170426065162907,0.0025062656641604,0.354545454545455,0.481818181818182,0.0303030303030303,0.487878787878788
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.1,2,400,142.267288208626,135,6,162,96,1,128,147,28,303,0.355668220521566,0.3375,0.015,0.405,0.24,0.0025,0.445544554455446,0.422442244224422,0.485148514851485,0.0924092409240924
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.1,2,399,131.10395844905,111,21,204,63,0,266,9,61,336,0.328581349496367,0.278195488721804,0.0526315789473684,0.511278195488722,0.157894736842105,0,0.330357142857143,0.791666666666667,0.0267857142857143,0.181547619047619
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.2,2,399,213.574997689368,185,16,106,92,0,32,2,273,307,0.535275683432,0.463659147869674,0.0401002506265664,0.265664160401002,0.230576441102757,0,0.602605863192182,0.104234527687296,0.00651465798045603,0.889250814332248
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.2,2,400,227.547121626334,200,6,88,106,0,13,139,142,294,0.568867804065836,0.5,0.015,0.22,0.265,0,0.680272108843537,0.0442176870748299,0.472789115646259,0.482993197278912
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.2,2,400,236.364182983946,205,0,86,108,1,1,286,4,291,0.590910457459865,0.5125,0,0.215,0.27,0.0025,0.70446735395189,0.00343642611683849,0.982817869415808,0.013745704467354
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.2,2,399,211.999927391065,193,9,123,74,0,155,3,167,325,0.531328138824724,0.483709273182957,0.0225563909774436,0.308270676691729,0.18546365914787,0,0.593846153846154,0.476923076923077,0.00923076923076923,0.513846153846154
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.2,2,400,229.809320578425,214,8,99,79,0,140,164,17,321,0.574523301446063,0.535,0.02,0.2475,0.1975,0,0.666666666666667,0.43613707165109,0.510903426791277,0.0529595015576324
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.2,2,399,212.344875903271,195,6,126,72,0,309,1,17,327,0.532192671436768,0.488721804511278,0.0150375939849624,0.315789473684211,0.180451127819549,0,0.596330275229358,0.944954128440367,0.00305810397553517,0.0519877675840979
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.3,2,399,252.186637583919,218,10,76,95,0,19,2,283,304,0.632046710736638,0.546365914786967,0.025062656641604,0.19047619047619,0.238095238095238,0,0.717105263157895,0.0625,0.00657894736842105,0.930921052631579
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.3,2,400,259.72810394297,226,3,66,105,0,11,135,149,295,0.649320259857424,0.565,0.0075,0.165,0.2625,0,0.766101694915254,0.0372881355932203,0.457627118644068,0.505084745762712
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.3,2,400,260.817733850118,221,0,58,120,1,1,274,4,279,0.652044334625296,0.5525,0,0.145,0.3,0.0025,0.792114695340502,0.003584229390681,0.982078853046595,0.014336917562724
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.3,2,399,252.563665781838,226,2,91,80,0,154,1,164,319,0.632991643563503,0.566416040100251,0.0050125313283208,0.228070175438596,0.200501253132832,0,0.70846394984326,0.482758620689655,0.00313479623824451,0.5141065830721
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.3,2,400,263.717977596302,243,5,78,74,0,157,159,10,326,0.659294943990755,0.6075,0.0125,0.195,0.185,0,0.745398773006135,0.48159509202454,0.487730061349693,0.0306748466257669
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.3,2,399,253.322427852553,220,3,103,73,0,319,1,6,326,0.634893302888605,0.551378446115288,0.0075187969924812,0.258145363408521,0.182957393483709,0,0.674846625766871,0.978527607361963,0.00306748466257669,0.0184049079754601
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.4,2,399,276.710405714014,243,7,53,96,0,10,4,289,303,0.693509788756928,0.609022556390977,0.0175438596491228,0.132832080200501,0.240601503759398,0,0.801980198019802,0.033003300330033,0.0132013201320132,0.953795379537954
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.4,2,400,277.34500097063,235,3,50,112,0,8,128,152,288,0.693362502426574,0.5875,0.0075,0.125,0.28,0,0.815972222222222,0.0277777777777778,0.444444444444444,0.527777777777778
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.4,2,400,275.686699565505,232,0,35,133,0,0,263,4,267,0.689216748913761,0.58,0,0.0875,0.3325,0,0.868913857677903,0,0.98501872659176,0.0149812734082397
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.4,2,399,277.245622608369,245,1,67,86,0,152,1,160,313,0.694851184482128,0.614035087719298,0.0025062656641604,0.167919799498747,0.215538847117794,0,0.782747603833866,0.485623003194888,0.00319488817891374,0.511182108626198
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.4,2,400,284.492210173048,256,5,61,78,0,153,160,9,322,0.71123052543262,0.64,0.0125,0.1525,0.195,0,0.795031055900621,0.475155279503106,0.496894409937888,0.0279503105590062
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.4,2,399,279.976968730361,244,1,79,75,0,321,1,2,324,0.701696663484613,0.611528822055138,0.0025062656641604,0.197994987468672,0.18796992481203,0,0.753086419753086,0.990740740740741,0.00308641975308642,0.00617283950617284
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.1,3,400,99.546850041967,90,18,223,68,1,76,11,244,331,0.248867125104918,0.225,0.045,0.5575,0.17,0.0025,0.27190332326284,0.229607250755287,0.0332326283987915,0.737160120845921
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.1,3,400,103.590728363535,88,15,219,78,0,66,94,162,322,0.258976820908838,0.22,0.0375,0.5475,0.195,0,0.273291925465839,0.204968944099379,0.291925465838509,0.503105590062112
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.1,3,400,113.91160061931,104,12,180,102,2,37,180,79,296,0.284779001548275,0.26,0.03,0.45,0.255,0.005,0.351351351351351,0.125,0.608108108108108,0.266891891891892
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.1,3,400,118.484310219703,114,4,158,122,2,25,244,7,276,0.296210775549258,0.285,0.01,0.395,0.305,0.005,0.41304347826087,0.0905797101449275,0.884057971014493,0.0253623188405797
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.1,3,400,94.1952733581683,70,26,231,72,1,143,10,174,327,0.235488183395421,0.175,0.065,0.5775,0.18,0.0025,0.214067278287462,0.437308868501529,0.0305810397553517,0.532110091743119
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.1,3,400,103.191619921459,103,17,198,80,2,115,103,100,318,0.257979049803647,0.2575,0.0425,0.495,0.2,0.005,0.323899371069182,0.361635220125786,0.323899371069182,0.314465408805031
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.1,3,400,111.449467886295,106,7,183,102,2,98,170,28,296,0.278623669715738,0.265,0.0175,0.4575,0.255,0.005,0.358108108108108,0.331081081081081,0.574324324324324,0.0945945945945946
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.1,3,400,95.7239968123792,72,23,239,65,1,194,13,127,334,0.239309992030948,0.18,0.0575,0.5975,0.1625,0.0025,0.215568862275449,0.580838323353293,0.0389221556886228,0.380239520958084
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.1,3,400,102.0565622016,90,13,208,88,1,168,99,44,311,0.255141405504,0.225,0.0325,0.52,0.22,0.0025,0.289389067524116,0.540192926045016,0.318327974276527,0.141479099678457
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.1,3,400,100.937245711465,73,27,243,56,1,250,16,77,343,0.252343114278661,0.1825,0.0675,0.6075,0.14,0.0025,0.212827988338192,0.728862973760933,0.0466472303206997,0.224489795918367
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.2,3,400,210.968321190525,195,22,117,66,0,44,1,289,334,0.527420802976314,0.4875,0.055,0.2925,0.165,0,0.583832335329341,0.131736526946108,0.0029940119760479,0.865269461077844
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.2,3,400,226.640898643417,194,17,125,64,0,43,117,176,336,0.566602246608542,0.485,0.0425,0.3125,0.16,0,0.577380952380952,0.12797619047619,0.348214285714286,0.523809523809524
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.2,3,400,242.109458531674,220,8,106,66,0,20,226,88,334,0.605273646329185,0.55,0.02,0.265,0.165,0,0.658682634730539,0.0598802395209581,0.676646706586826,0.263473053892216
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.2,3,400,247.26913879165,217,1,97,85,0,2,308,5,315,0.618172846979125,0.5425,0.0025,0.2425,0.2125,0,0.688888888888889,0.00634920634920635,0.977777777777778,0.0158730158730159
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.2,3,400,203.617545894266,172,30,142,56,0,137,2,205,344,0.509043864735665,0.43,0.075,0.355,0.14,0,0.5,0.398255813953488,0.00581395348837209,0.595930232558139
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.2,3,400,234.187399303418,210,20,116,54,0,108,136,102,346,0.585468498258546,0.525,0.05,0.29,0.135,0,0.606936416184971,0.312138728323699,0.393063583815029,0.294797687861272
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.2,3,400,242.966073546308,213,11,107,69,0,88,226,17,331,0.607415183865771,0.5325,0.0275,0.2675,0.1725,0,0.643504531722054,0.265861027190332,0.682779456193353,0.0513595166163142
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.2,3,400,196.199245617326,172,32,134,62,0,217,4,117,338,0.490498114043316,0.43,0.08,0.335,0.155,0,0.50887573964497,0.642011834319527,0.0118343195266272,0.346153846153846
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.2,3,400,227.067045150682,196,18,119,67,0,187,115,31,333,0.567667612876705,0.49,0.045,0.2975,0.1675,0,0.588588588588589,0.561561561561562,0.345345345345345,0.0930930930930931
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.2,3,400,197.763974715927,171,31,145,53,0,304,3,40,347,0.494409936789817,0.4275,0.0775,0.3625,0.1325,0,0.492795389048991,0.876080691642651,0.00864553314121038,0.115273775216138
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.3,3,400,260.058714535527,233,17,83,67,0,27,0,306,333,0.650146786338817,0.5825,0.0425,0.2075,0.1675,0,0.6996996996997,0.0810810810810811,0,0.918918918918919
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.3,3,400,272.613754577102,243,13,85,59,0,26,124,191,341,0.681534386442754,0.6075,0.0325,0.2125,0.1475,0,0.712609970674487,0.0762463343108504,0.363636363636364,0.560117302052786
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.3,3,400,290.310707723587,258,8,74,60,0,15,233,92,340,0.725776769308968,0.645,0.02,0.185,0.15,0,0.758823529411765,0.0441176470588235,0.685294117647059,0.270588235294118
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.3,3,400,290.424155057517,253,0,74,73,0,2,320,5,327,0.726060387643792,0.6325,0,0.185,0.1825,0,0.773700305810398,0.00611620795107034,0.978593272171254,0.0152905198776758
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.3,3,400,257.025888136013,221,20,97,62,0,128,0,210,338,0.642564720340033,0.5525,0.05,0.2425,0.155,0,0.653846153846154,0.378698224852071,0,0.621301775147929
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.3,3,400,281.248542431648,247,17,84,52,0,100,141,107,348,0.70312135607912,0.6175,0.0425,0.21,0.13,0,0.709770114942529,0.28735632183908,0.405172413793103,0.307471264367816
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.3,3,400,287.536068109834,249,11,81,59,0,88,237,16,341,0.718840170274586,0.6225,0.0275,0.2025,0.1475,0,0.730205278592375,0.258064516129032,0.695014662756598,0.0469208211143695
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.3,3,400,252.811393722766,221,22,96,61,0,224,1,114,339,0.632028484306914,0.5525,0.055,0.24,0.1525,0,0.651917404129793,0.660766961651917,0.00294985250737463,0.336283185840708
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.3,3,400,271.054514978597,240,12,92,56,0,193,128,23,344,0.677636287446494,0.6,0.03,0.23,0.14,0,0.697674418604651,0.561046511627907,0.372093023255814,0.0668604651162791
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.3,3,400,254.263850720605,223,16,108,53,0,326,0,21,347,0.635659626801511,0.5575,0.04,0.27,0.1325,0,0.642651296829971,0.939481268011527,0,0.0605187319884726
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.4,3,400,289.444137970898,258,8,69,65,0,15,1,319,335,0.723610344927244,0.645,0.02,0.1725,0.1625,0,0.770149253731343,0.0447761194029851,0.00298507462686567,0.952238805970149
